transaction_id,transaction_date,transaction_time,order_id,day_of_week,hour,transaction_qty,store_id,store_location,product_id,unit_price,total_sale,product_category,product_type,product_size,product_detail
1,01/01/2023,07:06:11 a. m.,1,Domingo,7,2,5,Lower Manhattan,32,3.00,6.00,coffee,Gourmet brewed coffee,Rg,Ethiopia Rg
2,01/01/2023,07:08:56 a. m.,2,Domingo,7,2,5,Lower Manhattan,57,3.10,6.20,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
3,01/01/2023,07:14:04 a. m.,3,Domingo,7,2,5,Lower Manhattan,59,4.50,9.00,drinking chocolate,Hot chocolate,Lg,Dark chocolate Lg
4,01/01/2023,07:20:24 a. m.,4,Domingo,7,1,5,Lower Manhattan,22,2.00,2.00,coffee,Drip coffee,Sm,Our Old Time Diner Blend Sm
5,01/01/2023,07:22:41 a. m.,5,Domingo,7,2,5,Lower Manhattan,57,3.10,6.20,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
6,01/01/2023,07:22:41 a. m.,5,Domingo,7,1,5,Lower Manhattan,77,3.00,3.00,bakery,Scone,Estándar,Oatmeal Scone
7,01/01/2023,07:25:49 a. m.,6,Domingo,7,1,5,Lower Manhattan,22,2.00,2.00,coffee,Drip coffee,Sm,Our Old Time Diner Blend Sm
8,01/01/2023,07:33:34 a. m.,7,Domingo,7,2,5,Lower Manhattan,28,2.00,4.00,coffee,Gourmet brewed coffee,Sm,Columbian Medium Roast Sm
9,01/01/2023,07:39:13 a. m.,8,Domingo,7,1,5,Lower Manhattan,39,4.25,4.25,coffee,Barista Espresso,Rg,Latte Rg
10,01/01/2023,07:39:34 a. m.,9,Domingo,7,2,5,Lower Manhattan,58,3.50,7.00,drinking chocolate,Hot chocolate,Rg,Dark chocolate Rg
11,01/01/2023,07:43:05 a. m.,10,Domingo,7,1,5,Lower Manhattan,56,2.55,2.55,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
12,01/01/2023,07:44:35 a. m.,11,Domingo,7,2,5,Lower Manhattan,33,3.50,7.00,coffee,Gourmet brewed coffee,Lg,Ethiopia Lg
13,01/01/2023,07:45:51 a. m.,12,Domingo,7,1,5,Lower Manhattan,51,3.00,3.00,tea,Brewed Black tea,Lg,Earl Grey Lg
14,01/01/2023,07:48:19 a. m.,13,Domingo,7,1,5,Lower Manhattan,57,3.10,3.10,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
15,01/01/2023,07:52:36 a. m.,14,Domingo,7,2,5,Lower Manhattan,87,3.00,6.00,coffee,Barista Espresso,Estándar,Ouro Brasileiro shot
16,01/01/2023,07:59:58 a. m.,15,Domingo,7,2,5,Lower Manhattan,47,3.00,6.00,tea,Brewed Green tea,Lg,Serenity Green Tea Lg
17,01/01/2023,07:59:58 a. m.,15,Domingo,7,1,5,Lower Manhattan,79,3.75,3.75,bakery,Scone,Estándar,Jumbo Savory Scone
22,01/01/2023,08:24:26 a. m.,16,Domingo,8,2,5,Lower Manhattan,56,2.55,5.10,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
23,01/01/2023,08:24:26 a. m.,16,Domingo,8,1,5,Lower Manhattan,69,3.25,3.25,bakery,Biscotti,Estándar,Hazelnut Biscotti
26,01/01/2023,08:33:08 a. m.,17,Domingo,8,1,5,Lower Manhattan,43,3.00,3.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
27,01/01/2023,08:33:08 a. m.,17,Domingo,8,1,5,Lower Manhattan,76,3.50,3.50,bakery,Biscotti,Estándar,Chocolate Chip Biscotti
28,01/01/2023,08:35:03 a. m.,18,Domingo,8,2,5,Lower Manhattan,45,3.00,6.00,tea,Brewed herbal tea,Lg,Peppermint Lg
29,01/01/2023,08:35:03 a. m.,18,Domingo,8,1,5,Lower Manhattan,71,3.75,3.75,bakery,Pastry,Estándar,Chocolate Croissant
32,01/01/2023,08:52:32 a. m.,19,Domingo,8,1,5,Lower Manhattan,26,3.00,3.00,coffee,Organic brewed coffee,Rg,Brazilian Rg
33,01/01/2023,08:54:33 a. m.,20,Domingo,8,2,5,Lower Manhattan,27,3.50,7.00,coffee,Organic brewed coffee,Lg,Brazilian Lg
34,01/01/2023,08:56:27 a. m.,21,Domingo,8,2,5,Lower Manhattan,29,2.50,5.00,coffee,Gourmet brewed coffee,Rg,Columbian Medium Roast Rg
36,01/01/2023,08:58:55 a. m.,22,Domingo,8,1,5,Lower Manhattan,26,3.00,3.00,coffee,Organic brewed coffee,Rg,Brazilian Rg
37,01/01/2023,09:00:12 a. m.,23,Domingo,9,1,5,Lower Manhattan,55,4.00,4.00,tea,Brewed Chai tea,Lg,Morning Sunrise Chai Lg
42,01/01/2023,09:10:30 a. m.,24,Domingo,9,2,5,Lower Manhattan,60,3.75,7.50,drinking chocolate,Hot chocolate,Rg,Sustainably Grown Organic Rg
43,01/01/2023,09:10:30 a. m.,24,Domingo,9,1,5,Lower Manhattan,78,4.50,4.50,bakery,Scone,Estándar,Scottish Cream Scone 
44,01/01/2023,09:11:06 a. m.,25,Domingo,9,1,5,Lower Manhattan,56,2.55,2.55,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
45,01/01/2023,09:11:06 a. m.,25,Domingo,9,1,5,Lower Manhattan,77,3.00,3.00,bakery,Scone,Estándar,Oatmeal Scone
